numeric_discrete,numeric_continuous,ordinal,categorical
7,30.14538979582238,4,D
3,43.89977022501644,2,C
10,56.77359521686422,4,C
0,42.24965810576276,5,A
7,49.890621629838044,3,C
3,43.42515062033656,4,B
5,30.678328374739504,5,D
7,43.24518822960072,5,A
3,56.731320206897124,5,D
2,26.29747519934188,3,C
8,52.52167350475575,3,C
2,38.139307686005864,3,A
8,56.08442069474192,2,C
1,57.143189358736535,3,D
1,48.28052065088724,3,B
1,48.30331841218778,3,A
5,41.936373028636986,4,C
2,36.54416599895034,3,D
8,66.98092906333733,2,B
3,41.34928572828872,5,C
0,65.67796131196472,4,A
3,41.40499960199823,1,C
0,55.25190390337728,3,C
4,38.621928403463656,5,C
3,55.233950169020154,5,B
7,46.74412642846878,4,B
7,46.874838393243294,1,C
6,56.10023169784451,2,C
2,45.30858634920902,5,A
0,35.718515045549026,5,C
0,57.61305563409452,5,D
10,38.54099410017672,5,D
2,55.1651728439791,4,A
5,59.72996545333,1,B
6,46.24506113647782,5,C
5,61.82352844091784,2,A
5,54.81783707861284,2,B
5,43.04138579855224,3,A
2,64.01429002266075,5,B
5,38.58328178260609,5,C
7,46.232995700964345,5,A
10,47.93685196380671,5,C
10,56.05223701018255,5,A
1,61.15433297381134,2,B
4,60.52791556902714,1,A
0,52.23748319574306,1,D
0,47.197308955364335,3,D
4,31.740157583723697,2,A
2,36.858541455447835,5,D
3,67.66655489291435,1,C
2,31.639280124974608,4,D
0,42.1550935675789,4,D
0,61.4460628205009,4,C
4,52.097132991973666,5,C
5,59.280450710056925,5,B
2,55.42828351270676,3,C
8,64.69582537360887,3,A
4,52.954272865648846,3,D
7,56.63447729151511,4,B
0,42.757534679416594,5,C
4,55.863329755781365,4,D
2,46.03873902010771,3,A
0,45.468941320192876,5,A
3,58.94723514647138,2,B
4,59.016233760593636,1,A
6,66.88442155746131,1,D
0,66.232631854862,3,C
2,59.173151613587756,4,A
1,32.795543897632875,2,C
8,68.27680982949695,5,D
9,59.17967670666362,4,D
5,42.34139909913697,3,C
9,57.28909155562782,4,D
2,39.62734259037272,3,B
7,56.18630120109742,1,A
7,36.837299589259004,1,B
1,41.917815912133634,4,B
5,57.09929129200527,2,B
6,60.72886742992894,5,C
1,53.2543685943381,3,C
10,47.13831363312029,5,D
9,28.851337049830093,1,C
1,47.9097890034864,2,D
9,55.334850768245275,2,C
0,46.83234894064353,5,D
7,49.774220589055815,1,A
0,48.143825320820795,5,D
8,46.782937821785666,4,A
10,50.758773899598125,2,D
5,47.27305417847539,2,C
6,64.43289553631942,4,C
9,27.935811516162673,1,A
6,44.54157414028923,2,B
9,41.29743776482775,3,B
2,52.1911060003441,3,D
1,50.771447858831266,1,C
8,66.22193101549429,4,B
7,69.51142048297794,5,C
9,42.26916544429519,1,C
6,50.00500065033629,5,C
8,51.96304416924355,1,D
3,42.02186251662664,3,A
3,56.283820360376225,4,D
0,47.60492631235056,3,B
7,39.32365149399022,4,A
2,47.20431695733457,5,B
6,40.02325427259351,1,A
1,60.36646829419256,2,A
1,69.0155925511367,2,D
6,52.44819373894539,4,C
5,51.112767680532755,4,C
2,51.52434766874186,3,A
8,61.82234028938315,2,D
9,61.60699003597183,3,B
5,48.84346431451769,5,B
9,52.52589927379091,2,C
9,56.52646407177078,5,C
5,38.623125434492664,1,B
0,62.126082374204564,3,B
3,67.34831891227228,4,D
9,61.650321048394574,2,B
5,37.54406088385445,3,D
5,30.29999544581126,4,C
10,57.087186735179316,1,B
4,42.39810551037914,2,C
0,52.87133354122986,5,A
7,65.35148720007548,1,A
4,43.4304482360159,4,A
4,46.2244534359104,2,B
6,52.76722972588316,2,C
3,37.024903600177694,1,B
5,42.421438039941236,2,C
3,50.248575037512694,4,D
2,46.995451311822485,1,B
6,56.084077537992265,5,A
7,77.65979614439267,1,D
3,50.99138339418125,1,C
1,41.58288053961991,5,B
9,64.18240354757565,4,C
2,34.11181524679779,3,C
0,36.11091828970893,3,B
7,44.04896561352277,5,B
2,47.171132794803746,4,C
9,43.80927263482791,2,C
6,49.68487675576977,5,D
9,52.74741902746345,3,A
4,60.68959535275138,4,C
9,50.911882738437825,1,A
4,44.380537523048986,4,D
6,60.14645386439412,4,A
8,41.82284524269869,3,A
4,33.673972543126766,3,D
0,62.05956017904542,2,C
9,61.418532448109715,2,A
9,42.07701607795894,5,C
0,46.00901146179074,1,C
1,40.83072454670071,2,B
5,53.26624217565134,3,C
8,67.32049291368082,4,C
7,57.02881798595122,5,A
4,60.357246425830326,2,C
0,58.19728331691012,4,C
6,49.99880851440906,4,B
4,60.833404379113155,2,B
5,57.450305629127996,1,A
6,64.39445715153136,1,A
2,45.404510588382436,5,B
9,32.618883604546134,1,B
2,60.452510148730774,5,D
4,53.497695206060584,3,C
5,47.03953899678764,2,A
8,47.59847187692509,4,A
4,75.54686325902117,5,C
0,43.57805347465729,1,C
3,41.466966931736664,5,A
4,50.85284233493352,5,B
9,61.80490877972961,1,B
9,72.78401986529228,1,C
4,56.57364963389571,2,A
6,37.2959125602057,4,C
3,69.70864270717799,2,B
0,49.80531300922903,2,D
4,41.622905681050305,1,D
6,39.20607542900646,1,B
9,58.36328719335456,4,C
9,52.38829386186414,5,D
5,53.45075376945851,2,B
4,62.86503119071931,4,A
3,41.97845408490356,2,C
1,63.66154628273648,5,C
3,44.8084267720631,2,D
9,71.64007373912357,3,C
9,55.9873901599314,4,D
2,40.79761470223623,1,D
9,29.745819166795204,2,B
0,58.089247222790114,4,D
7,46.25819724009816,4,A
4,48.44434305478165,2,C
3,57.66196009174107,1,D
7,60.10413826250655,1,C
6,62.23710340669291,2,D
1,38.25158691617064,4,B
0,64.2589474962459,1,A
10,44.20954663831851,2,C
3,27.437500652517734,2,B
7,38.21559653139954,2,C
1,52.18025092132565,4,B
2,40.21185753918861,1,A
0,49.11955530823956,4,D
0,53.382524875291786,3,B
2,48.18614596890714,1,C
10,45.05645662143283,4,C
4,37.49303937011774,1,B
2,50.219438082153324,3,A
0,29.350426124152648,5,A
0,43.140019582805785,2,D
7,40.72215890939239,4,D
9,47.60623148491085,3,C
10,47.86670200690731,3,C
1,59.59956674433745,1,D
2,65.834772772496,1,D
1,38.8222115976303,2,D
2,69.9283262527003,1,B
6,42.20704400478568,4,D
0,51.7252678292309,4,B
9,55.108629891483176,4,B
7,74.44582752582505,5,D
9,44.57717662237336,4,A
9,32.03261987021946,1,A
9,64.90379470192981,1,C
1,41.66626441204565,4,D
2,46.38411419424407,3,C
8,38.82250346073825,3,D
6,46.412962269510814,3,C
3,41.596084637945594,2,B
9,56.76441816494771,5,D
4,50.80791629721979,4,A
1,43.18944839385321,2,D
10,59.958719766589276,3,C
7,52.549967506745986,4,C
3,31.539517495559444,2,C
8,59.19703314084302,1,C
4,51.84867883852635,3,C
8,63.90732487591542,2,C
3,51.23917426342645,1,A
9,42.08290649432405,3,C
4,47.95704666698163,5,A
8,58.03919330880721,3,D
7,42.29262940299137,5,B
2,45.59703212892441,5,A
0,47.78311420000933,5,D
2,38.50628389784127,4,B
3,42.436765753714255,4,A
1,51.7255019180419,5,A
0,62.02477747653008,1,D
6,53.17146984710475,5,C
7,49.54138740630979,2,A
6,41.687292260476895,5,A
4,60.95160411720232,4,D
0,54.335054999468426,4,C
6,42.932702364807604,2,B
6,58.986484586849,2,C
8,55.59577061510467,3,C
2,41.86469650633764,1,D
8,48.986217437358,1,C
0,45.072272717570634,1,D
0,76.33537940031604,4,B
3,55.317448831256584,1,A
8,51.8676205484824,3,A
5,54.726630560767134,3,D
10,63.79162588197498,1,D
2,49.166198555615345,2,C
0,44.10090702134244,3,C
3,58.44283228097417,2,A
8,48.25055433998688,4,A
2,39.301046709194964,3,A
8,37.353135682439415,2,D
6,65.29296550839533,1,B
3,51.316445669192845,4,B
2,44.104326160075985,5,D
9,47.65665088957937,5,C
4,58.07444718008352,1,B
4,47.06594484157955,4,C
2,35.505802708225815,4,A
8,53.25840852147925,4,A
3,62.083478175735635,4,C
10,61.4146431797225,5,A
4,44.406700618627546,2,D
3,62.691726564583796,4,C
4,52.12949973671623,2,C
6,62.41147343878727,4,C
8,55.73687030002554,3,B
6,34.7840315736733,3,C
4,67.46738937508346,3,C
9,50.51783851198953,4,C
9,55.76793823913817,2,B
6,36.55955371528156,5,A
9,55.053265000780655,1,B
4,61.0292773274266,5,D
2,69.35320336598404,4,C
6,64.00399794795283,3,D
10,55.54224703946039,3,B
10,34.55622646651614,2,A
1,51.322727904974215,4,A
8,44.0749043478707,5,C
9,52.34977874816247,4,A
9,37.83674167204901,4,B
0,47.89833092208099,3,B
5,44.828169161939314,5,A
6,44.518336440307536,1,C
7,44.61763814008846,3,C
9,48.64145283611755,5,B
8,52.86194759048022,2,A
1,25.01506412128549,3,B
10,26.235671436621363,2,B
9,46.61308660078125,3,D
1,48.02230955294386,4,B
4,51.891112166039406,5,C
4,42.723276451437755,2,A
5,50.09465194022682,3,A
2,51.26523205018055,2,D
7,42.654419031345284,3,D
0,60.13455821741101,3,C
5,51.76986311455061,1,D
3,55.469610954632905,1,B
0,50.68845731283853,1,B
6,71.0367310306172,2,C
8,55.963970691176534,4,A
3,45.120066837927745,3,C
3,58.20966884368401,5,D
5,33.62395082543328,1,A
2,51.196002626671046,2,A
5,53.191602900919904,2,A
6,51.31020762078698,2,D
10,46.66221129161113,5,B
9,39.87726643162985,5,B
9,42.106529879490374,1,D
2,51.020749162473834,5,D
6,38.86480767572007,1,C
2,67.70167615647273,5,C
1,23.59102320656294,5,B
9,46.76562132455396,5,D
3,51.10389639107697,1,C
7,55.07420927833289,3,D
8,40.84075272737573,1,D
6,61.342947938882126,3,B
0,36.06168956187077,2,B
2,44.33871411392432,2,D
8,56.207475552794236,1,A
0,60.40188564792752,3,A
8,35.95998703618902,3,D
7,76.45036790415159,3,B
0,41.0250843683279,2,A
5,36.87817522472217,1,B
4,55.02714891773257,4,A
5,46.51706546418543,3,D
9,45.039476874602556,3,C
4,55.956440575697194,4,C
5,34.72704309572191,1,B
4,32.978656000252975,3,B
10,44.02576634856772,1,A
4,60.779017394533255,3,D
3,44.45944706587216,5,A
2,65.99156684528614,3,D
2,62.01014761171891,5,D
3,52.829461845074846,1,B
8,53.397238593747566,3,C
1,52.82002625016856,2,C
8,51.597177286821,2,B
0,46.33758302521821,4,C
0,47.49812166792837,2,B
4,39.30039843407418,5,A
5,27.8995721070982,2,D
5,61.0407060928205,2,C
2,51.57258436785298,2,C
6,50.06211355621786,3,A
8,53.9844912285788,4,A
10,41.71602545206351,1,C
9,39.98937786615567,4,C
7,47.16315306321847,5,B
5,63.68098481763813,3,B
7,38.31258971506874,3,C
4,23.729346431918337,2,B
7,44.785989081812474,2,A
9,61.426999162351834,5,D
3,32.67455975645646,3,B
9,38.19716396177128,1,D
7,52.63546740578169,4,B
9,75.69907035475335,3,C
1,36.41788331473805,1,B
4,36.03065908532041,1,D
8,53.38698368839185,4,D
3,62.04674439993704,1,C
10,43.7590128767429,5,D
5,33.78605843877831,1,C
0,54.33749220886346,5,C
8,56.14841397302973,1,D
0,67.78655126538249,2,A
4,56.56947112324279,1,D
3,58.280660763723795,5,D
2,47.37854856132094,1,B
5,74.41504342169468,1,D
1,46.0185798941153,1,B
2,43.8807787858823,5,B
4,68.09514918518607,1,D
8,35.2576272110459,4,C
1,31.52591615472085,4,A
9,51.19556924598485,5,D
7,49.98263476724305,2,D
1,47.72112018449338,4,C
10,59.939297571216514,3,B
4,40.917938177114294,4,C
6,50.64167125624674,3,C
7,46.39894047361813,5,B
0,41.087814998932494,2,D
5,49.381599160393165,3,C
0,58.525958032951024,3,C
1,71.20568120430502,4,D
0,55.794189828989694,3,D
10,24.891649985985485,5,A
4,49.61859914558351,5,C
9,50.49802790902832,5,A
8,59.3620900957995,4,B
5,51.84810302489739,2,D
10,62.53088917302077,4,D
10,53.91670615615271,5,A
0,65.58798069497888,4,C
0,45.61254079951706,5,B
1,51.44343467296694,1,C
8,58.266415353898964,1,C
2,44.27805929706557,3,A
0,42.09987197918924,2,C
4,43.70647900313315,1,A
6,42.507843829110776,5,D
5,55.22561920875327,4,D
0,31.651919703654443,4,D
4,34.44029973682093,3,B
4,68.62746492357263,4,B
5,42.74903279025823,1,C
2,52.000148511717484,4,A
4,35.108535821008715,1,C
6,50.94124267789276,1,D
4,42.80993332318596,2,C
4,34.36910501839586,3,C
4,63.36920437564713,5,C
9,61.825657270608716,1,D
9,48.92645209285983,3,A
2,59.99419032677911,5,C
0,69.03292687727159,4,D
4,57.540759331580894,3,B
8,54.79679739509963,3,A
0,51.989496964833094,3,D
2,56.49497364859239,4,C
3,46.36080606510363,4,D
0,47.233641308385536,3,A
0,54.508913752125146,2,C
7,45.26135129840471,1,B
1,46.34200327206498,4,B
7,50.00186664634973,2,B
6,61.50607550593069,4,D
9,38.673362464403525,3,A
9,57.59178502705261,2,B
1,57.917964128034704,5,C
5,57.85812009296809,1,C
5,41.93253619790511,1,C
2,33.07318384489063,4,D
10,55.59700472411422,1,A
1,51.87538784413962,5,A
0,60.04376634763132,2,B
5,42.99463171990462,2,A
4,57.60118376256361,3,C
10,60.54412112219411,2,C
8,49.0469027895065,4,D
0,54.169295032648165,5,C
6,53.81966457524095,3,A
4,41.785304709703496,4,C
4,55.310966022846074,4,B
1,66.22498340901014,4,D
10,50.22203934542637,1,D
2,35.390750613483426,4,A
6,43.1277346908599,1,C
5,32.20570551148373,2,C
1,62.90261129046065,1,A
5,57.64105296328095,4,A
1,44.986307283321814,5,B
1,35.81940078031064,5,A
1,41.6670504175751,2,C
10,43.617230343028524,4,B
2,51.09407599020059,1,D
1,50.7575934319838,5,C
3,63.414319753737026,3,D
8,43.07245142301957,4,D
5,34.91812145646071,4,D
0,38.43021524857708,3,C
7,49.76975145553499,5,D
6,42.713219330542096,3,C
9,47.079914544869744,2,D
2,45.45966419680556,1,A
0,59.90238453705183,1,A
4,44.13034312907678,5,C
3,46.2265792305219,3,D
9,57.17283581158776,4,D
7,44.35018088967924,4,D
0,54.232123744570174,4,A
9,53.314852620217586,2,D
0,51.417658589610795,2,D
3,38.6560361729351,4,C
7,62.29774224521937,5,D
4,72.20683796583114,2,A
1,50.08828138267395,2,D
5,39.53645126629625,1,A
4,50.29102708325023,1,A
1,59.89860140585999,5,B
10,43.848123242843926,2,A
10,48.7110081588181,2,B
10,53.406541364121416,3,B
2,62.03047852205925,5,D
8,57.754237330893744,5,B
6,58.16867969532262,3,C
6,45.737314433235746,3,A
10,54.01918955173923,1,C
5,42.78036672874871,5,B
7,58.45526099885211,5,D
3,61.51219640785614,3,A
7,55.533635687726225,4,C
3,46.32589413205184,4,D
7,47.96272871958402,1,B
8,68.0651621066201,4,D
2,46.49289555376504,4,C
2,60.49994167450568,4,D
10,53.38891598218522,2,C
1,46.65863551540157,1,D
9,36.553509725305744,3,A
2,52.11600380588507,4,D
2,50.91100866606122,2,A
4,68.06534671459333,4,C
4,41.39807304577502,2,A
1,72.94768591547785,1,D
9,53.78810529496593,4,A
5,53.77829221222158,2,C
4,44.0692786556777,5,D
5,53.147063075544686,5,A
0,54.73050928233213,2,A
4,59.37327291820877,4,B
8,40.216777924080574,4,A
9,64.06780855788038,1,B
1,53.61415523771979,1,C
0,56.08228895307312,3,B
9,47.79057738495239,1,C
10,40.71857361720949,4,A
8,50.72724627403287,3,A
9,51.87295549823218,1,B
8,36.14571731885509,2,C
8,57.93285405165125,5,A
5,59.965246338965805,1,B
7,42.70335376178873,1,B
10,39.774146497279084,2,B
0,46.97038623125699,4,A
9,50.238950969863,2,C
3,47.35828990084666,1,A
0,49.39082167229217,4,D
7,52.21477697675916,3,D
0,36.31731061274371,1,A
2,37.46704372696735,2,C
3,22.777222590768552,3,B
7,59.425452284534714,5,D
5,50.15227020617449,3,D
9,60.47851131465157,2,A
6,38.62262004188608,3,D
7,50.24407339533162,2,D
1,52.148265061166015,1,B
9,44.382175051699846,4,B
10,34.46572201533208,5,C
7,67.45871336135157,4,D
2,63.992833412700506,4,C
6,46.18067728274635,4,C
2,55.10227645169608,2,B
6,45.15209323643107,2,B
10,40.04596396975252,5,A
1,68.27261504957013,2,B
9,33.44631118594198,2,C
5,47.14496303028885,2,D
2,50.84323827242234,2,C
2,66.51236578687286,1,C
8,58.96588654236018,5,C
6,33.27750225432681,2,B
4,49.972497589658175,5,C
9,50.21060198364359,3,A
6,47.71661664700558,1,D
8,56.19809107530301,2,B
0,35.90893072244023,1,C
6,45.9136408746333,1,A
5,54.78818748213075,3,D
9,56.79575685160641,5,C
8,51.494194735091966,1,D
0,47.11607799699701,4,B
3,48.800587263735274,3,B
8,57.40407122377237,4,A
3,50.3390078412546,3,B
9,39.58152454559471,4,A
2,37.66502416055097,4,C
8,35.10362578563891,1,D
1,64.55580818489354,1,B
3,58.07461835612445,3,D
5,48.93512116819453,5,D
1,45.46207514835916,1,C
7,44.260699920326424,1,C
7,60.9323710758221,2,B
0,69.0443350817474,1,C
2,43.94607076072461,5,D
9,61.3841552065571,2,A
8,50.280129153588895,4,A
4,47.87571070089533,4,A
5,65.04214282829923,2,B
3,49.89834279257223,2,C
9,52.96364439254636,2,C
1,52.48273932911446,3,C
10,33.74400633340548,5,C
7,52.88411148716062,5,D
10,44.37307975559767,4,A
5,35.78846859854379,4,D
4,44.82862919551238,4,B
8,44.74611130363054,1,A
0,60.29882539130331,4,A
4,39.362103838979685,2,D
5,42.101525609507455,4,B
4,52.35388260548012,2,B
5,36.742062286457525,3,A
5,43.409932417676664,1,C
6,33.35523264666778,1,B
3,59.200114600053965,5,D
10,46.98636879559814,3,B
7,49.840821549977576,2,A
6,59.1601031979109,3,C
8,42.777311163461135,1,B
6,46.88012991351996,2,A
2,39.436720006942586,3,B
2,39.414962790041876,1,C
7,40.79417105994121,2,D
4,45.07509609166335,2,A
3,46.15204465826935,1,A
7,52.8863215089838,2,C
5,41.087830519581004,1,A
1,53.19632675917477,4,C
3,54.85001291523228,4,A
10,45.32177817167734,2,C
3,41.95275427581619,2,B
5,50.8507903197999,1,B
5,47.97082536989555,2,B
0,52.20351829273545,5,A
7,65.69866436259967,4,C
5,50.686370484277155,2,C
2,43.60769438719868,2,D
8,41.09110388057941,3,B
1,41.477983686784164,2,D
10,35.37233692888879,5,B
7,59.32743608345579,4,D
9,27.667211806442356,3,B
2,54.88104817719306,1,C
4,41.319360933247694,1,B
5,44.875947853758824,4,A
9,41.02012358455612,1,B
5,64.45864659642031,5,B
3,50.16315601685777,2,C
2,57.90378525042853,4,A
3,63.00526858596006,3,C
0,51.63405474022404,2,D
3,38.04376229144788,1,D
0,47.79357249884228,1,A
0,42.57751986433797,3,D
9,44.96495838112701,5,A
5,49.05376207350711,3,B
4,48.65844357907736,4,D
10,54.12109161020287,3,B
3,55.57304293780487,1,C
10,48.658548237335424,5,D
2,54.03468918107917,5,C
0,44.50640145064558,3,C
5,63.147798255965036,4,A
1,44.34488711782354,1,C
7,61.97186484622428,2,A
9,35.23932908228278,5,A
4,46.19592742589154,3,A
6,46.69021826386394,4,A
9,52.78991794748474,4,A
1,58.61816803218824,1,B
7,37.50604796940472,5,A
1,38.920169579570924,1,D
3,35.98091932283762,2,A
0,63.20184197198417,2,B
4,52.976049427971226,2,D
8,39.15628791542877,4,D
0,45.569051260439295,5,B
8,61.81761395661495,1,D
10,47.218807696887616,1,B
7,46.62811862208827,2,C
5,42.187032931769416,5,C
6,39.750076861812374,5,A
2,61.833238104431565,3,A
0,66.7390158874206,5,A
4,40.14805597212652,5,A
1,64.0494232921812,1,B
4,45.12610583709895,5,C
7,55.33647995368887,5,B
10,64.10213804814408,1,D
8,48.549234042963676,5,D
1,46.720580797326406,1,D
2,58.010809637881856,3,D
2,38.90047162963751,4,D
0,61.4706137784043,1,C
7,51.42809392442583,1,B
5,44.22249491845823,5,D
7,43.958323966841455,1,A
10,36.16537488171634,2,C
8,44.638278333760105,2,A
4,47.35962238005599,3,C
2,39.38706468288518,1,C
4,49.54535023870996,5,A
4,54.729170845254956,5,A
4,47.86527864000581,4,D
2,56.627258265192665,3,A
10,41.928600170206636,5,B
9,60.0338276421994,4,C
3,51.21814705774858,5,C
8,65.45257169754743,4,D
9,74.14217312238733,2,C
8,45.29756407696719,2,A
